,PhraseID,Note,TimeStamp,PieceID
89,PHRASE000009,END,21/05/23 12:30:35,PIECE00002
90,PHRASE000010,G,21/05/23 12:30:35,PIECE00003
91,PHRASE000010,E,21/05/23 12:30:35,PIECE00003
92,PHRASE000010,E,21/05/23 12:30:35,PIECE00003
93,PHRASE000010,D,21/05/23 12:30:35,PIECE00003
94,PHRASE000010,C,21/05/23 12:30:35,PIECE00003
95,PHRASE000010,F,21/05/23 12:30:35,PIECE00003
96,PHRASE000010,F,21/05/23 12:30:35,PIECE00003
97,PHRASE000010,B,21/05/23 12:30:35,PIECE00003
98,PHRASE000010,END,21/05/23 12:30:35,PIECE00003
99,PHRASE000011,B,21/05/23 12:30:35,PIECE00003
100,PHRASE000011,F,21/05/23 12:30:35,PIECE00003
101,PHRASE000011,F,21/05/23 12:30:35,PIECE00003
102,PHRASE000011,E,21/05/23 12:30:35,PIECE00003
103,PHRASE000011,D,21/05/23 12:30:35,PIECE00003
104,PHRASE000011,G,21/05/23 12:30:45,PIECE00003
105,PHRASE000011,rest,21/05/23 12:30:45,PIECE00003
106,PHRASE000011,END,21/05/23 12:30:35,PIECE00003
107,PHRASE000012,E,21/05/23 12:30:35,PIECE00003
108,PHRASE000012,G,21/05/23 12:30:35,PIECE00003
109,PHRASE000012,G,21/05/23 12:30:35,PIECE00003
110,PHRASE000012,F,21/05/23 12:30:35,PIECE00003
111,PHRASE000012,E,21/05/23 12:30:35,PIECE00003
112,PHRASE000012,A,21/05/23 12:30:35,PIECE00003
113,PHRASE000012,A,21/05/23 12:30:35,PIECE00003
114,PHRASE000012,B,21/05/23 12:30:35,PIECE00003
115,PHRASE000012,END,21/05/23 12:30:35,PIECE00003
116,PHRASE000013,A,21/05/23 12:30:35,PIECE00003
117,PHRASE000013,G,21/05/23 12:30:35,PIECE00003
118,PHRASE000013,F,21/05/23 12:30:35,PIECE00003
119,PHRASE000013,E,21/05/23 12:30:35,PIECE00003
120,PHRASE000013,D,21/05/23 12:30:35,PIECE00003
121,PHRASE000013,C,21/05/23 12:30:45,PIECE00003
122,PHRASE000013,rest,21/05/23 12:30:45,PIECE00003
123,PHRASE000013,END,21/05/23 12:30:35,PIECE00003
124,PHRASE000014,G,21/05/23 12:30:35,PIECE00003
125,PHRASE000014,E,21/05/23 12:30:35,PIECE00003
126,PHRASE000014,G,21/05/23 12:30:35,PIECE00003
127,PHRASE000014,C,21/05/23 12:30:35,PIECE00003
128,PHRASE000014,G,21/05/23 12:30:35,PIECE00003
129,PHRASE000014,B,21/05/23 12:30:35,PIECE00003
130,PHRASE000014,A,21/05/23 12:30:35,PIECE00003
131,PHRASE000014,A,21/05/23 12:30:35,PIECE00003
132,PHRASE000014,END,21/05/23 12:30:35,PIECE00003
133,PHRASE000015,A,21/05/23 12:30:35,PIECE00003
134,PHRASE000015,G,21/05/23 12:30:35,PIECE00003
135,PHRASE000015,G,21/05/23 12:30:35,PIECE00003
136,PHRASE000015,E,21/05/23 12:30:35,PIECE00003
137,PHRASE000015,D,21/05/23 12:30:35,PIECE00003
138,PHRASE000015,C,21/05/23 12:30:45,PIECE00003
139,PHRASE000015,rest,21/05/23 12:30:45,PIECE00003
140,PHRASE000015,END,21/05/23 12:30:35,PIECE00003
141,PHRASE000016,G,21/05/23 12:30:45,PIECE00004
142,PHRASE000016,E,21/05/23 12:30:55,PIECE00004
143,PHRASE000016,D,21/05/23 12:30:55,PIECE00004
144,PHRASE000016,C,21/05/23 12:31:05,PIECE00004
145,PHRASE000016,B,21/05/23 12:31:15,PIECE00004
146,PHRASE000016,D,21/05/23 12:31:25,PIECE00004
147,PHRASE000016,A,21/05/23 12:31:35,PIECE00004
148,PHRASE000016,rest,21/05/23 12:31:45,PIECE00004
149,PHRASE000016,END,21/05/23 12:30:35,PIECE00004
150,PHRASE000017,D,21/05/23 12:30:45,PIECE00004
151,PHRASE000017,D,21/05/23 12:30:55,PIECE00004
152,PHRASE000017,D,21/05/23 12:30:55,PIECE00004
153,PHRASE000017,D,21/05/23 12:30:55,PIECE00004
154,PHRASE000017,C,21/05/23 12:30:55,PIECE00004
155,PHRASE000017,D,21/05/23 12:31:05,PIECE00004
156,PHRASE000017,E,21/05/23 12:31:25,PIECE00004
157,PHRASE000017,rest,21/05/23 12:31:35,PIECE00004
158,PHRASE000017,END,21/05/23 12:30:35,PIECE00004
159,PHRASE000018,G,21/05/23 12:30:45,PIECE00004
160,PHRASE000018,E,21/05/23 12:30:55,PIECE00004
161,PHRASE000018,E,21/05/23 12:30:55,PIECE00004
162,PHRASE000018,G,21/05/23 12:31:05,PIECE00004
163,PHRASE000018,G,21/05/23 12:31:05,PIECE00004
164,PHRASE000018,F,21/05/23 12:31:15,PIECE00004
165,PHRASE000018,D,21/05/23 12:31:25,PIECE00004
166,PHRASE000018,rest,21/05/23 12:31:35,PIECE00004
167,PHRASE000018,END,21/05/23 12:30:35,PIECE00004
168,PHRASE000019,D,21/05/23 12:30:45,PIECE00004
169,PHRASE000019,C,21/05/23 12:30:55,PIECE00004
170,PHRASE000019,C,21/05/23 12:30:55,PIECE00004
171,PHRASE000019,E,21/05/23 12:31:05,PIECE00004
172,PHRASE000019,D,21/05/23 12:31:15,PIECE00004
173,PHRASE000019,C,21/05/23 12:31:35,PIECE00004
174,PHRASE000019,rest,21/05/23 12:31:45,PIECE00004
175,PHRASE000019,END,21/05/23 12:30:35,PIECE00004
176,PHRASE000020,G,21/05/23 12:30:35,PIECE00005
177,PHRASE000020,C,21/05/23 12:30:45,PIECE00005
178,PHRASE000020,D,21/05/23 12:30:45,PIECE00005
179,PHRASE000020,E-,21/05/23 12:30:55,PIECE00005
180,PHRASE000020,F,21/05/23 12:30:55,PIECE00005
181,PHRASE000020,G,21/05/23 12:31:05,PIECE00005
182,PHRASE000020,G,21/05/23 12:31:05,PIECE00005
183,PHRASE000020,F,21/05/23 12:31:15,PIECE00005
184,PHRASE000020,END,21/05/23 12:30:35,PIECE00005
185,PHRASE000021,G,21/05/23 12:30:35,PIECE00005
186,PHRASE000021,G#,21/05/23 12:30:45,PIECE00005
187,PHRASE000021,G,21/05/23 12:30:45,PIECE00005
188,PHRASE000021,F,21/05/23 12:30:45,PIECE00005
189,PHRASE000021,E-,21/05/23 12:30:45,PIECE00005
190,PHRASE000021,F,21/05/23 12:30:45,PIECE00005
191,PHRASE000021,G,21/05/23 12:31:05,PIECE00005
192,PHRASE000021,rest,21/05/23 12:31:05,PIECE00005
193,PHRASE000021,END,21/05/23 12:30:35,PIECE00005
194,PHRASE000022,G,21/05/23 12:30:35,PIECE00005
195,PHRASE000022,G,21/05/23 12:30:35,PIECE00005
196,PHRASE000022,G#,21/05/23 12:30:35,PIECE00005
197,PHRASE000022,B-,21/05/23 12:30:35,PIECE00005
198,PHRASE000022,B-,21/05/23 12:30:35,PIECE00005
199,PHRASE000022,G#,21/05/23 12:30:35,PIECE00005
200,PHRASE000022,G,21/05/23 12:30:35,PIECE00005
201,PHRASE000022,G,21/05/23 12:30:45,PIECE00005
202,PHRASE000022,F,21/05/23 12:30:45,PIECE00005
203,PHRASE000022,F,21/05/23 12:30:55,PIECE00005
204,PHRASE000022,END,21/05/23 12:30:35,PIECE00005
205,PHRASE000023,F,21/05/23 12:30:35,PIECE00005
206,PHRASE000023,E-,21/05/23 12:30:35,PIECE00005
207,PHRASE000023,F,21/05/23 12:30:35,PIECE00005
208,PHRASE000023,G,21/05/23 12:30:35,PIECE00005
209,PHRASE000023,G,21/05/23 12:30:35,PIECE00005
210,PHRASE000023,F,21/05/23 12:30:35,PIECE00005
211,PHRASE000023,E-,21/05/23 12:30:35,PIECE00005
212,PHRASE000023,E-,21/05/23 12:30:45,PIECE00005
213,PHRASE000023,D,21/05/23 12:30:45,PIECE00005
214,PHRASE000023,D,21/05/23 12:30:55,PIECE00005
215,PHRASE000023,END,21/05/23 12:30:35,PIECE00005
216,PHRASE000024,G,21/05/23 12:30:35,PIECE00005
217,PHRASE000024,G,21/05/23 12:30:35,PIECE00005
218,PHRASE000024,F,21/05/23 12:30:35,PIECE00005
219,PHRASE000024,E-,21/05/23 12:30:35,PIECE00005
220,PHRASE000024,D,21/05/23 12:30:35,PIECE00005
221,PHRASE000024,C,21/05/23 12:30:35,PIECE00005
222,PHRASE000024,B,21/05/23 12:30:35,PIECE00005
223,PHRASE000024,C,21/05/23 12:30:55,PIECE00005
224,PHRASE000024,rest,21/05/23 12:30:55,PIECE00005
225,PHRASE000024,END,21/05/23 12:30:35,PIECE00005
226,PHRASE000025,G,21/05/23 12:30:35,PIECE00006
227,PHRASE000025,A,21/05/23 12:30:35,PIECE00006
228,PHRASE000025,G,21/05/23 12:30:35,PIECE00006
229,PHRASE000025,C,21/05/23 12:30:35,PIECE00006
230,PHRASE000025,C,21/05/23 12:30:45,PIECE00006
231,PHRASE000025,E,21/05/23 12:30:45,PIECE00006
232,PHRASE000025,E,21/05/23 12:30:45,PIECE00006
233,PHRASE000025,E,21/05/23 12:30:45,PIECE00006
234,PHRASE000025,G,21/05/23 12:30:45,PIECE00006
235,PHRASE000025,G,21/05/23 12:30:55,PIECE00006
236,PHRASE000025,END,21/05/23 12:30:35,PIECE00006
237,PHRASE000026,F,21/05/23 12:30:35,PIECE00006
238,PHRASE000026,E,21/05/23 12:30:35,PIECE00006
239,PHRASE000026,F,21/05/23 12:30:35,PIECE00006
240,PHRASE000026,A,21/05/23 12:30:35,PIECE00006
241,PHRASE000026,C,21/05/23 12:30:45,PIECE00006
242,PHRASE000026,B,21/05/23 12:30:45,PIECE00006
243,PHRASE000026,D,21/05/23 12:30:45,PIECE00006
244,PHRASE000026,C,21/05/23 12:30:55,PIECE00006
245,PHRASE000026,rest,21/05/23 12:31:05,PIECE00006
246,PHRASE000026,END,21/05/23 12:30:35,PIECE00006
247,PHRASE000027,G,21/05/23 12:30:35,PIECE00006
248,PHRASE000027,G,21/05/23 12:30:35,PIECE00006
249,PHRASE000027,F,21/05/23 12:30:45,PIECE00006
250,PHRASE000027,D,21/05/23 12:30:55,PIECE00006
251,PHRASE000027,G,21/05/23 12:30:55,PIECE00006
252,PHRASE000027,F,21/05/23 12:30:55,PIECE00006
253,PHRASE000027,E,21/05/23 12:31:05,PIECE00006
254,PHRASE000027,C,21/05/23 12:31:15,PIECE00006
255,PHRASE000027,END,21/05/23 12:30:35,PIECE00006
256,PHRASE000028,G,21/05/23 12:30:35,PIECE00006
257,PHRASE000028,G,21/05/23 12:30:35,PIECE00006
258,PHRASE000028,A,21/05/23 12:30:35,PIECE00006
259,PHRASE000028,D,21/05/23 12:30:35,PIECE00006
260,PHRASE000028,D,21/05/23 12:30:45,PIECE00006
261,PHRASE000028,B,21/05/23 12:30:45,PIECE00006
262,PHRASE000028,D,21/05/23 12:30:45,PIECE00006
263,PHRASE000028,C,21/05/23 12:30:55,PIECE00006
264,PHRASE000028,rest,21/05/23 12:31:05,PIECE00006
265,PHRASE000028,END,21/05/23 12:30:35,PIECE00006
266,PHRASE000029,G,21/05/23 12:30:35,PIECE00007
267,PHRASE000029,C,21/05/23 12:30:35,PIECE00007
268,PHRASE000029,D,21/05/23 12:30:35,PIECE00007
269,PHRASE000029,E,21/05/23 12:30:35,PIECE00007
270,PHRASE000029,F,21/05/23 12:30:35,PIECE00007
271,PHRASE000029,G,21/05/23 12:30:35,PIECE00007
272,PHRASE000029,A,21/05/23 12:30:35,PIECE00007
273,PHRASE000029,G,21/05/23 12:30:35,PIECE00007
274,PHRASE000029,END,21/05/23 12:30:35,PIECE00007
275,PHRASE000030,E,21/05/23 12:30:35,PIECE00007
276,PHRASE000030,F,21/05/23 12:30:35,PIECE00007
277,PHRASE000030,E,21/05/23 12:30:35,PIECE00007
278,PHRASE000030,F,21/05/23 12:30:35,PIECE00007
279,PHRASE000030,G,21/05/23 12:30:35,PIECE00007
280,PHRASE000030,E,21/05/23 12:30:45,PIECE00007
281,PHRASE000030,rest,21/05/23 12:30:45,PIECE00007
282,PHRASE000030,END,21/05/23 12:30:35,PIECE00007
283,PHRASE000031,C,21/05/23 12:30:35,PIECE00007
284,PHRASE000031,E,21/05/23 12:30:35,PIECE00007
285,PHRASE000031,G,21/05/23 12:30:35,PIECE00007
286,PHRASE000031,E,21/05/23 12:30:35,PIECE00007
287,PHRASE000031,G,21/05/23 12:30:35,PIECE00007
288,PHRASE000031,E,21/05/23 12:30:35,PIECE00007
289,PHRASE000031,G,21/05/23 12:30:35,PIECE00007
290,PHRASE000031,C,21/05/23 12:30:35,PIECE00007
291,PHRASE000031,A,21/05/23 12:30:35,PIECE00007
292,PHRASE000031,END,21/05/23 12:30:35,PIECE00007
293,PHRASE000032,G,21/05/23 12:30:35,PIECE00007
294,PHRASE000032,F,21/05/23 12:30:35,PIECE00007
295,PHRASE000032,D,21/05/23 12:30:35,PIECE00007
296,PHRASE000032,F,21/05/23 12:30:35,PIECE00007
297,PHRASE000032,D,21/05/23 12:30:35,PIECE00007
298,PHRASE000032,F,21/05/23 12:30:35,PIECE00007
299,PHRASE000032,A,21/05/23 12:30:35,PIECE00007
300,PHRASE000032,G,21/05/23 12:30:35,PIECE00007
301,PHRASE000032,END,21/05/23 12:30:35,PIECE00007
302,PHRASE000033,F,21/05/23 12:30:35,PIECE00007
303,PHRASE000033,E,21/05/23 12:30:35,PIECE00007
304,PHRASE000033,D,21/05/23 12:30:35,PIECE00007
305,PHRASE000033,E,21/05/23 12:30:35,PIECE00007
306,PHRASE000033,F,21/05/23 12:30:35,PIECE00007
307,PHRASE000033,G,21/05/23 12:30:35,PIECE00007
308,PHRASE000033,C,21/05/23 12:30:35,PIECE00007
309,PHRASE000033,B,21/05/23 12:30:35,PIECE00007
310,PHRASE000033,END,21/05/23 12:30:35,PIECE00007
311,PHRASE000034,A,21/05/23 12:30:35,PIECE00007
312,PHRASE000034,G,21/05/23 12:30:35,PIECE00007
313,PHRASE000034,E,21/05/23 12:30:35,PIECE00007
314,PHRASE000034,F,21/05/23 12:30:35,PIECE00007
315,PHRASE000034,G,21/05/23 12:30:35,PIECE00007
316,PHRASE000034,E,21/05/23 12:30:45,PIECE00007
317,PHRASE000034,rest,21/05/23 12:30:45,PIECE00007
318,PHRASE000034,END,21/05/23 12:30:35,PIECE00007
319,PHRASE000035,G,21/05/23 12:30:45,PIECE00008
320,PHRASE000035,C,21/05/23 12:30:55,PIECE00008
321,PHRASE000035,C,21/05/23 12:31:05,PIECE00008
322,PHRASE000035,B,21/05/23 12:31:15,PIECE00008
323,PHRASE000035,D,21/05/23 12:31:25,PIECE00008
324,PHRASE000035,C,21/05/23 12:31:35,PIECE00008
325,PHRASE000035,A,21/05/23 12:31:45,PIECE00008
326,PHRASE000035,G,21/05/23 12:31:55,PIECE00008
327,PHRASE000035,END,21/05/23 12:30:35,PIECE00008
328,PHRASE000036,G,21/05/23 12:30:45,PIECE00008
329,PHRASE000036,A,21/05/23 12:30:55,PIECE00008
330,PHRASE000036,A,21/05/23 12:31:05,PIECE00008
331,PHRASE000036,A,21/05/23 12:31:15,PIECE00008
332,PHRASE000036,C,21/05/23 12:31:25,PIECE00008
333,PHRASE000036,G,21/05/23 12:31:35,PIECE00008
334,PHRASE000036,G,21/05/23 12:31:45,PIECE00008
335,PHRASE000036,E,21/05/23 12:31:55,PIECE00008
336,PHRASE000036,END,21/05/23 12:30:35,PIECE00008
337,PHRASE000037,G,21/05/23 12:30:45,PIECE00008
338,PHRASE000037,C,21/05/23 12:30:55,PIECE00008
339,PHRASE000037,E,21/05/23 12:31:05,PIECE00008
340,PHRASE000037,D,21/05/23 12:31:15,PIECE00008
341,PHRASE000037,D,21/05/23 12:31:25,PIECE00008
342,PHRASE000037,G,21/05/23 12:31:45,PIECE00008
343,PHRASE000037,F,21/05/23 12:32:05,PIECE00008
344,PHRASE000037,E,21/05/23 12:32:25,PIECE00008
345,PHRASE000037,rest,21/05/23 12:32:35,PIECE00008
346,PHRASE000037,END,21/05/23 12:30:35,PIECE00008
347,PHRASE000038,G,21/05/23 12:30:35,PIECE00009
348,PHRASE000038,C,21/05/23 12:30:45,PIECE00009
349,PHRASE000038,E-,21/05/23 12:30:55,PIECE00009
350,PHRASE000038,D,21/05/23 12:31:05,PIECE00009
351,PHRASE000038,G,21/05/23 12:31:15,PIECE00009
352,PHRASE000038,F,21/05/23 12:31:15,PIECE00009
353,PHRASE000038,E-,21/05/23 12:31:15,PIECE00009
354,PHRASE000038,D,21/05/23 12:31:15,PIECE00009
355,PHRASE000038,END,21/05/23 12:30:35,PIECE00009
356,PHRASE000039,G,21/05/23 12:30:35,PIECE00009
357,PHRASE000039,C,21/05/23 12:30:45,PIECE00009
358,PHRASE000039,E-,21/05/23 12:30:55,PIECE00009
359,PHRASE000039,D,21/05/23 12:31:05,PIECE00009
360,PHRASE000039,G,21/05/23 12:31:15,PIECE00009
361,PHRASE000039,F,21/05/23 12:31:15,PIECE00009
362,PHRASE000039,E-,21/05/23 12:31:15,PIECE00009
363,PHRASE000039,D,21/05/23 12:31:15,PIECE00009
364,PHRASE000039,END,21/05/23 12:30:35,PIECE00009
365,PHRASE000040,E-,21/05/23 12:30:35,PIECE00009
366,PHRASE000040,F,21/05/23 12:30:35,PIECE00009
367,PHRASE000040,F,21/05/23 12:30:35,PIECE00009
368,PHRASE000040,F,21/05/23 12:30:35,PIECE00009
369,PHRASE000040,G,21/05/23 12:30:35,PIECE00009
370,PHRASE000040,E-,21/05/23 12:30:35,PIECE00009
371,PHRASE000040,D,21/05/23 12:30:35,PIECE00009
372,PHRASE000040,C,21/05/23 12:30:35,PIECE00009
373,PHRASE000040,END,21/05/23 12:30:35,PIECE00009
374,PHRASE000041,G,21/05/23 12:30:35,PIECE00009
375,PHRASE000041,C,21/05/23 12:30:45,PIECE00009
376,PHRASE000041,D,21/05/23 12:30:55,PIECE00009
377,PHRASE000041,E-,21/05/23 12:30:55,PIECE00009
378,PHRASE000041,F,21/05/23 12:30:55,PIECE00009
379,PHRASE000041,G,21/05/23 12:31:05,PIECE00009
380,PHRASE000041,E-,21/05/23 12:31:15,PIECE00009
381,PHRASE000041,D,21/05/23 12:31:15,PIECE00009
382,PHRASE000041,C,21/05/23 12:31:15,PIECE00009
383,PHRASE000041,C,21/05/23 12:31:25,PIECE00009
384,PHRASE000041,rest,21/05/23 12:31:25,PIECE00009
385,PHRASE000041,END,21/05/23 12:30:35,PIECE00009
386,PHRASE000042,G,21/05/23 12:30:35,PIECE00010
387,PHRASE000042,C,21/05/23 12:30:45,PIECE00010
388,PHRASE000042,E-,21/05/23 12:30:55,PIECE00010
389,PHRASE000042,D,21/05/23 12:31:05,PIECE00010
390,PHRASE000042,G,21/05/23 12:31:15,PIECE00010
391,PHRASE000042,F,21/05/23 12:31:15,PIECE00010
392,PHRASE000042,E-,21/05/23 12:31:15,PIECE00010
393,PHRASE000042,D,21/05/23 12:31:15,PIECE00010
394,PHRASE000042,END,21/05/23 12:30:35,PIECE00010
395,PHRASE000043,G,21/05/23 12:30:35,PIECE00010
396,PHRASE000043,C,21/05/23 12:30:45,PIECE00010
397,PHRASE000043,E-,21/05/23 12:30:55,PIECE00010
398,PHRASE000043,D,21/05/23 12:31:05,PIECE00010
399,PHRASE000043,G,21/05/23 12:31:15,PIECE00010
400,PHRASE000043,F,21/05/23 12:31:15,PIECE00010
401,PHRASE000043,E-,21/05/23 12:31:15,PIECE00010
402,PHRASE000043,D,21/05/23 12:31:15,PIECE00010
403,PHRASE000043,END,21/05/23 12:30:35,PIECE00010
404,PHRASE000044,D,21/05/23 12:30:35,PIECE00010
405,PHRASE000044,F,21/05/23 12:30:35,PIECE00010
406,PHRASE000044,F,21/05/23 12:30:35,PIECE00010
407,PHRASE000044,F,21/05/23 12:30:35,PIECE00010
408,PHRASE000044,G,21/05/23 12:30:35,PIECE00010
409,PHRASE000044,E-,21/05/23 12:30:35,PIECE00010
410,PHRASE000044,D,21/05/23 12:30:35,PIECE00010
411,PHRASE000044,C,21/05/23 12:30:35,PIECE00010
412,PHRASE000044,END,21/05/23 12:30:35,PIECE00010
413,PHRASE000045,G,21/05/23 12:30:35,PIECE00010
414,PHRASE000045,C,21/05/23 12:30:45,PIECE00010
415,PHRASE000045,E-,21/05/23 12:30:55,PIECE00010
416,PHRASE000045,D,21/05/23 12:31:05,PIECE00010
417,PHRASE000045,G,21/05/23 12:31:15,PIECE00010
418,PHRASE000045,E-,21/05/23 12:31:15,PIECE00010
419,PHRASE000045,D,21/05/23 12:31:15,PIECE00010
420,PHRASE000045,C,21/05/23 12:31:15,PIECE00010
421,PHRASE000045,END,21/05/23 12:30:35,PIECE00010
422,PHRASE000046,C,21/05/23 12:30:35,PIECE00011
423,PHRASE000046,E,21/05/23 12:30:35,PIECE00011
424,PHRASE000046,F,21/05/23 12:30:35,PIECE00011
425,PHRASE000046,G,21/05/23 12:30:45,PIECE00011
426,PHRASE000046,A,21/05/23 12:30:45,PIECE00011
427,PHRASE000046,G,21/05/23 12:30:45,PIECE00011
428,PHRASE000046,F,21/05/23 12:30:45,PIECE00011
429,PHRASE000046,E,21/05/23 12:30:55,PIECE00011
430,PHRASE000046,rest,21/05/23 12:30:55,PIECE00011
431,PHRASE000046,END,21/05/23 12:30:35,PIECE00011
432,PHRASE000047,D,21/05/23 12:30:35,PIECE00011
433,PHRASE000047,E,21/05/23 12:30:35,PIECE00011
434,PHRASE000047,F,21/05/23 12:30:35,PIECE00011
435,PHRASE000047,G,21/05/23 12:30:45,PIECE00011
436,PHRASE000047,A,21/05/23 12:30:45,PIECE00011
437,PHRASE000047,G,21/05/23 12:30:45,PIECE00011
438,PHRASE000047,F,21/05/23 12:30:45,PIECE00011
439,PHRASE000047,E,21/05/23 12:30:55,PIECE00011
440,PHRASE000047,rest,21/05/23 12:30:55,PIECE00011
441,PHRASE000047,END,21/05/23 12:30:35,PIECE00011
442,PHRASE000048,E,21/05/23 12:30:35,PIECE00011
443,PHRASE000048,G,21/05/23 12:30:35,PIECE00011
444,PHRASE000048,E,21/05/23 12:30:35,PIECE00011
445,PHRASE000048,D,21/05/23 12:30:45,PIECE00011
446,PHRASE000048,E,21/05/23 12:30:45,PIECE00011
447,PHRASE000048,F,21/05/23 12:30:45,PIECE00011
