,PhraseID,Note,StartTimestamp,EndTimestamp,PieceID
0,PHRASE000000,G4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
1,PHRASE000000,A4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
2,PHRASE000000,G4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
3,PHRASE000000,F4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
4,PHRASE000000,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
5,PHRASE000000,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
6,PHRASE000000,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
7,PHRASE000000,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
8,PHRASE000000,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
9,PHRASE000001,D4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
10,PHRASE000001,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
11,PHRASE000001,C4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
12,PHRASE000001,C4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
13,PHRASE000001,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
14,PHRASE000001,E4,21/05/23 12:13:23,21/05/23 12:13:33,PIECE00000
15,PHRASE000001,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
16,PHRASE000001,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
17,PHRASE000002,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
18,PHRASE000002,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
19,PHRASE000002,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
20,PHRASE000002,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
21,PHRASE000002,F4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
22,PHRASE000002,G4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
23,PHRASE000002,A4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
24,PHRASE000002,G4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
25,PHRASE000002,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
26,PHRASE000003,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
27,PHRASE000003,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
28,PHRASE000003,C4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
29,PHRASE000003,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
30,PHRASE000003,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00000
31,PHRASE000003,D4,21/05/23 12:13:33,21/05/23 12:13:43,PIECE00000
32,PHRASE000003,C4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00000
33,PHRASE000003,rest,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00000
34,PHRASE000003,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00000
35,PHRASE000004,G3,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
36,PHRASE000004,C4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
37,PHRASE000004,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
38,PHRASE000004,C4,21/05/23 12:13:23,21/05/23 12:13:33,PIECE00001
39,PHRASE000004,B3,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00001
40,PHRASE000004,C4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00001
41,PHRASE000004,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00001
42,PHRASE000004,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00001
43,PHRASE000004,C4,21/05/23 12:13:33,21/05/23 12:13:43,PIECE00001
44,PHRASE000004,rest,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
45,PHRASE000004,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
46,PHRASE000005,C4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
47,PHRASE000005,E4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
48,PHRASE000005,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
49,PHRASE000005,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
50,PHRASE000005,F4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
51,PHRASE000005,E4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
52,PHRASE000005,D4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00001
53,PHRASE000005,C4,21/05/23 12:13:43,21/05/23 12:13:53,PIECE00001
54,PHRASE000005,D4,21/05/23 12:13:53,21/05/23 12:14:03,PIECE00001
55,PHRASE000005,rest,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
56,PHRASE000005,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
57,PHRASE000006,C4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
58,PHRASE000006,E4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
59,PHRASE000006,C4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
60,PHRASE000006,G4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
61,PHRASE000006,A4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
62,PHRASE000006,G4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
63,PHRASE000006,E4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
64,PHRASE000006,D4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
65,PHRASE000006,C4,21/05/23 12:14:03,21/05/23 12:14:03,PIECE00001
66,PHRASE000006,F4,21/05/23 12:14:03,21/05/23 12:14:13,PIECE00001
67,PHRASE000006,rest,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
68,PHRASE000006,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
69,PHRASE000007,E4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
70,PHRASE000007,D4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
71,PHRASE000007,C4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
72,PHRASE000007,G4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
73,PHRASE000007,A4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
74,PHRASE000007,G4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
75,PHRASE000007,E4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
76,PHRASE000007,D4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
77,PHRASE000007,C4,21/05/23 12:14:13,21/05/23 12:14:13,PIECE00001
78,PHRASE000007,F4,21/05/23 12:14:13,21/05/23 12:14:23,PIECE00001
79,PHRASE000007,rest,21/05/23 12:14:23,21/05/23 12:14:23,PIECE00001
80,PHRASE000007,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
81,PHRASE000008,E4,21/05/23 12:14:23,21/05/23 12:14:23,PIECE00001
82,PHRASE000008,D4,21/05/23 12:14:23,21/05/23 12:14:23,PIECE00001
83,PHRASE000008,C4,21/05/23 12:14:23,21/05/23 12:14:23,PIECE00001
84,PHRASE000008,F4,21/05/23 12:14:23,21/05/23 12:14:33,PIECE00001
85,PHRASE000008,E4,21/05/23 12:14:33,21/05/23 12:14:43,PIECE00001
86,PHRASE000008,D4,21/05/23 12:14:43,21/05/23 12:14:53,PIECE00001
87,PHRASE000008,C4,21/05/23 12:14:53,21/05/23 12:15:03,PIECE00001
88,PHRASE000008,rest,21/05/23 12:15:03,21/05/23 12:15:03,PIECE00001
89,PHRASE000008,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00001
90,PHRASE000009,G3,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
91,PHRASE000009,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
92,PHRASE000009,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
93,PHRASE000009,D4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
94,PHRASE000009,C4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
95,PHRASE000009,F4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
96,PHRASE000009,F4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
97,PHRASE000009,B3,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
98,PHRASE000009,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
99,PHRASE000010,B3,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
100,PHRASE000010,F4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
101,PHRASE000010,F4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
102,PHRASE000010,E4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
103,PHRASE000010,D4,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
104,PHRASE000010,G4,21/05/23 12:13:23,21/05/23 12:13:33,PIECE00002
105,PHRASE000010,rest,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
106,PHRASE000010,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
107,PHRASE000011,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
108,PHRASE000011,G4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
109,PHRASE000011,G4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
110,PHRASE000011,F4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
111,PHRASE000011,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
112,PHRASE000011,A4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
113,PHRASE000011,A4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
114,PHRASE000011,B3,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
115,PHRASE000011,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
116,PHRASE000012,A3,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
117,PHRASE000012,G3,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
118,PHRASE000012,F4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
119,PHRASE000012,E4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
120,PHRASE000012,D4,21/05/23 12:13:33,21/05/23 12:13:33,PIECE00002
121,PHRASE000012,C4,21/05/23 12:13:33,21/05/23 12:13:43,PIECE00002
122,PHRASE000012,rest,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
123,PHRASE000012,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
124,PHRASE000013,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
125,PHRASE000013,E4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
